molecule_chembl_id,canonical_smiles,standard_value
CHEMBL542491,CCc1cccc(NC(=N)Nc2cccc(Cl)c2Cl)c1.Cl,13.3
CHEMBL545311,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(SC)c2Br)c1.Cl,1034.0
CHEMBL539299,CCc1cccc(NC(=N)Nc2ccc(Cl)cc2Cl)c1.Cl,36.5
CHEMBL543436,CCc1cccc(N(C)C(=N)Nc2cc(C(F)(F)F)cc(CC)c2Cl)c1.Cl,115.0
CHEMBL545537,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(C(F)(F)F)c2Br)c1.Cl,755.0
CHEMBL543201,CCc1cccc(NC(=N)Nc2cccc(CC)c2)c1.Cl,30.1
CHEMBL553034,CCc1cccc(NC(=N)Nc2cc(CC)cc(CC)c2Br)c1.Cl,5.7
CHEMBL540838,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(SC)c2Br)c1.Cl,180.0
CHEMBL542957,CCc1cccc(N(C)C(=N)Nc2ccccc2I)c1.Cl,234.0
CHEMBL543428,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(CC)c2Cl)c1.Cl,112.0
CHEMBL543199,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(C(F)(F)F)c2Cl)c1.Cl,421.0
CHEMBL542730,CCc1cccc(NC(=N)Nc2cc(C)cc(CC)c2Cl)c1.Cl,30.7
CHEMBL555606,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(SC)c2Cl)c1.Cl,178.0
CHEMBL544142,CCc1cccc(N(C)C(=N)Nc2cc(Br)cc(S(C)(=O)=O)c2Br)c1.Cl,3378.0
CHEMBL545777,CCc1cccc(N(C)C(=N)Nc2cc(Br)cc([S+](C)[O-])c2Br)c1.Cl,1947.0
CHEMBL2093907,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(CC)c2Br)c1.Cl,299.0
CHEMBL554868,CCc1cccc(N(C)C(=N)Nc2cc(Cl)cc(SC)c2Cl)c1.Cl,130.0
CHEMBL539549,CCc1cccc(N(C)C(=N)Nc2ccc(Cl)cc2)c1.Cl,45.7
CHEMBL545310,CCc1cccc(NC(=N)Nc2ccccc2Cl)c1.Cl,15.9
CHEMBL553312,CCc1cccc(NC(=N)Nc2cc(Cl)ccc2Cl)c1.Cl,11.8
CHEMBL554054,CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1.Cl,2535.0
CHEMBL545312,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(SC)c2Cl)c1.Cl,480.0
CHEMBL540831,CCc1cccc(N(C)C(=N)Nc2cc(C(F)(F)F)cc(CC)c2F)c1.Cl,79.0
CHEMBL556043,CCc1cccc(NC(=N)Nc2ccccc2C)c1.Cl,10.8
CHEMBL538289,CCc1cccc(N(C)C(=N)Nc2ccccc2C(C)C)c1.Cl,362.0
CHEMBL543192,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(CC)c2Br)c1.Cl,203.0
CHEMBL538052,CCc1cccc(N(C)C(=N)Nc2cc(SC)cc(CC)c2Cl)c1.Cl,309.0
CHEMBL538283,CCc1cccc(N(C)C(=N)Nc2cccc(Br)c2)c1.Cl,40.0
CHEMBL545079,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(C(F)(F)F)c2Cl)c1.Cl,200.0
CHEMBL545545,CCc1cccc(N(C)C(=N)Nc2ccc(Cl)c(Cl)c2)c1.Cl,39.0
CHEMBL538036,CCc1cccc(NC(=N)Nc2ccccc2CC)c1.Cl,18.5
CHEMBL544144,CCc1cccc(N(C)C(=N)Nc2cc(C(F)(F)F)cc(CC)c2Br)c1.Cl,205.0
CHEMBL545542,CCc1cccc(N(C)C(=N)Nc2cc(Br)cc(CC)c2Br)c1.Cl,40.2
CHEMBL552829,CCc1cccc(NC(=N)Nc2cc(CC)cc(CC)c2F)c1.Cl,7.4
